latitude,longitude,depth,oxygene,winkler
48.7122222222222,-68.6425,-302,,
49.4241666666667,-66.3325,-300,,
49.4241666666667,-66.3325,-150,,
49.0908333333333,-67.2844444444444,-300,,
48.9358333333333,-68.0980555555555,-300,,
48.705,-68.6625,-250,,
48.705,-68.6625,-200,,
48.4458333333333,-69.3763888888889,-300,,
48.4458333333333,-69.3763888888889,-125,,
48.2933333333333,-69.3925,-300,,
48.7202777777778,-68.8644444444444,-322,60.9,60.4
48.7202777777778,-68.8644444444444,-300,60.6,62
48.7202777777778,-68.8644444444444,-250,76.5,72.7
48.7202777777778,-68.8644444444444,-200,108.4,112.4
48.7202777777778,-68.8644444444444,-150,166.8,166.5
49.1711111111111,-68.2011111111111,-304,59.8,59
49.1711111111111,-68.2011111111111,-250,67.1,65.8
49.1711111111111,-68.2011111111111,-200,96.8,96.4
49.2638888888889,-67.3872222222222,-308,67.3,67.3
49.2638888888889,-67.3872222222222,-250,68.7,
49.2638888888889,-67.3872222222222,-200,118.8,
49.5494444444444,-66.4622222222222,-313,61,61
49.5494444444444,-66.4622222222222,-250,79.9,79.9
49.5494444444444,-66.4622222222222,-150,181.2,
49.4977777777778,-65.2269444444444,-353,93.6,93.2
49.4977777777778,-65.2269444444444,-260,72.9,71.8
49.4977777777778,-65.2269444444444,-150,171.5,
49.2722222222222,-64.2769444444444,-370,124.7,124.7
49.2722222222222,-64.2769444444444,-280,101.5,101.5
49.2722222222222,-64.2769444444444,-200,145.1,
49.2241666666667,-63.3619444444444,-388,134.4,134.7
49.2241666666667,-63.3619444444444,-280,105.7,112.3
49.2241666666667,-63.3619444444444,-150,210.3,
47.4675,-59.835,-488,170.2,169.4
47.4675,-59.835,-487,169.8,
47.4675,-59.835,-450,168.8,
47.4675,-59.835,-400,165.2,
47.4675,-59.835,-400,166.4,
47.4675,-59.835,-350,163.3,
47.4675,-59.835,-300,157.8,
47.4675,-59.835,-300,161.2,
47.4675,-59.835,-250,155.4,
47.4675,-59.835,-240,155.8,154.5
47.4675,-59.835,-200,166,
47.4675,-59.835,-200,162.8,
47.4675,-59.835,-150,216.8,
47.4675,-59.835,-150,210.5,
46.7688888888889,-58.9241666666667,-420,167.7,167.1
46.7688888888889,-58.9241666666667,-400,166.1,
46.7688888888889,-58.9241666666667,-350,169.8,
46.7688888888889,-58.9241666666667,-300,157.4,
46.7688888888889,-58.9241666666667,-250,149.9,
46.7688888888889,-58.9241666666667,-240,157.7,157.6
46.7688888888889,-58.9241666666667,-200,165,
46.7688888888889,-58.9241666666667,-150,202.7,
46.1694444444444,-58,-462,209.9,209.3
46.1694444444444,-58,-400,174.7,
46.1694444444444,-58,-350,171.5,
46.1694444444444,-58,-300,164.7,
46.1694444444444,-58,-250,160.2,159.6
46.1694444444444,-58,-200,170.8,
46.1694444444444,-58,-150,208.7,
48.7122222222222,-68.6425,-337.5,62.7,
48.7122222222222,-68.6425,-240,81.8,
48.7122222222222,-68.6425,-200,105.8,
48.7122222222222,-68.6425,-161,170,
48.7122222222222,-68.6425,-122,274.9,
47.7522222222222,-69.9083333333333,-145,317.1,
48.2838888888889,-69.3841666666667,-325,68,
48.2838888888889,-69.3841666666667,-220,,
48.2838888888889,-69.3841666666667,-160,,
48.2838888888889,-69.3841666666667,-120,235.4,
49.4180555555556,-66.3172222222222,-315,82,
49.4180555555556,-66.3172222222222,-220,,
49.4180555555556,-66.3172222222222,-160,134.1,
49.4180555555556,-66.3172222222222,-120,,
49.0844444444444,-67.2691666666667,-313,,
49.0844444444444,-67.2691666666667,-280,,
48.9391666666667,-68.0841666666667,-306,70.6,
48.9391666666667,-68.0841666666667,-180,,
48.9391666666667,-68.0841666666667,-240,,
48.3188888888889,-69.2844444444444,-276.9,65.2,66.9
48.3188888888889,-69.2844444444444,-150.8,172,171.1
48.3188888888889,-69.2844444444444,-100.1,,
48.2663888888889,-69.3861111111111,-307,64.6,66.1
48.2663888888889,-69.3861111111111,-151,133,134
48.2663888888889,-69.3861111111111,-100.9,176,
48.2019444444445,-69.4666666666667,-262.4,78,79.7
48.2019444444445,-69.4666666666667,-151.1,120,120.8
48.2019444444445,-69.4666666666667,-100.2,182,
48.1675,-69.5336111111111,-168.2,119.3,119.3
48.1675,-69.5336111111111,-150.8,,
48.1675,-69.5336111111111,-100.5,232.8,232.8
48.1858333333333,-69.58,-156.1,112,112
48.1880555555556,-69.5836111111111,-149.7,127.5,127.5
48.1880555555556,-69.5836111111111,-102.1,190.7,190.7
48.1841666666667,-69.5672222222222,-150.1,187.3,187.3
48.1841666666667,-69.5672222222222,-100.1,,
48.2211111111111,-69.5758333333333,-150.1,,
48.1833333333333,-69.5686111111111,-150.8,,
48.1833333333333,-69.5686111111111,-100.3,,
48.1841666666667,-69.5669444444444,-150.4,178.8,178.8
48.1841666666667,-69.5669444444444,-100.4,,
48.1836111111111,-69.5758333333333,-150.4,115.9,115.9
48.1836111111111,-69.5758333333333,-100.1,243.4,243.4
48.1888888888889,-69.5811111111111,-150.2,116.8,116.8
48.1888888888889,-69.5811111111111,-101.3,198.5,198.5
48.1836111111111,-69.5680555555555,-150.5,,
48.1836111111111,-69.5680555555555,-100.7,,
48.2313888888889,-69.6922222222222,-149.9,151.3,151.3
48.2313888888889,-69.6922222222222,-100.2,,
48.2313888888889,-69.6922222222222,-151.1,,
48.2313888888889,-69.6922222222222,-100.3,,
48.1836111111111,-69.6252777777778,-152.02,,
48.1869444444444,-69.6083333333333,-149.5,,
48.1869444444444,-69.6083333333333,-100.6,,
48.2805555555556,-69.5677777777778,-149.99,,
48.2805555555556,-69.5677777777778,-100.21,,
48.1936111111111,-69.5666666666667,-149.87,156.2,156.2
48.1936111111111,-69.5666666666667,-100.05,231.2,231.2
48.1936111111111,-69.5961111111111,-151.3,,
48.1883333333333,-69.5775,-149.76,143.3,143.3
48.1883333333333,-69.5775,-102.26,,
48.2,-69.5708333333333,-149.9,,
48.2,-69.5708333333333,-102.2,,
48.7122222222222,-68.6425,-336,61.3,63.5
48.7122222222222,-68.6425,-300,63.1,65.9
48.7122222222222,-68.6425,-250,71.1,73.9
48.7122222222222,-68.6425,-200,104,108.2
48.7122222222222,-68.6425,-150,149,150
49.4286111111111,-66.3236111111111,-320,72,76.5
49.4286111111111,-66.3236111111111,-255,73.4,77.2
49.4286111111111,-66.3236111111111,-200,86.3,
49.4286111111111,-66.3236111111111,-150,131,
49.2511111111111,-64.2525,-373,85.6,
49.2511111111111,-64.2525,-280,77.6,
49.2511111111111,-64.2525,-150,191,
49.2838888888889,-66.6852777777778,-300,68.8,
49.2838888888889,-66.6852777777778,-278,71.9,76.8
49.2838888888889,-66.6852777777778,-200,117,120.1
49.2838888888889,-66.6852777777778,-130,199,203.9
48.9483333333333,-68.1002777777778,-305,65.1,64.4
48.9483333333333,-68.1002777777778,-255,71.2,
48.9483333333333,-68.1002777777778,-200,92.1,88.4
48.9483333333333,-68.1002777777778,-150,157,149.8
48.7080555555556,-68.6563888888889,-340,54.79886,56.7
48.7080555555556,-68.6563888888889,-300,59.58122,61.5
48.7080555555556,-68.6563888888889,-250,68.50736,69.8
48.7080555555556,-68.6563888888889,-200,83.44886,
48.7080555555556,-68.6563888888889,-150,134.34236,130.9
48.9666666666667,-63.115,-390,141.67386,139
48.9666666666667,-63.115,-350,137.68236,
48.9666666666667,-63.115,-300,118.13636,
48.9666666666667,-63.115,-250,113.903,114.5
48.9666666666667,-63.115,-200,180.21852,178
48.9666666666667,-63.115,-150,233.48862,
48.8566666666667,-68.7880555555556,-338,56.5,57.8
48.8566666666667,-68.7880555555556,-300,56.3,57.6
48.8566666666667,-68.7880555555556,-250,69.6,69.2
48.8566666666667,-68.7880555555556,-200,81.1,79.4
48.8566666666667,-68.7880555555556,-150,167,169.4
48.73,-68.655,-338,55.8,
48.73,-68.655,-300,57.1,
48.73,-68.655,-250,68.3,
48.73,-68.655,-200,80.9,
48.73,-68.655,-150,160,
48.7080555555556,-68.6563888888889,-338,56.5,
48.7080555555556,-68.6563888888889,-300,57.6,
47.755,-69.9055555555556,-142,283,
47.925,-69.7866666666667,-115,301,
48.2980555555556,-69.3805555555555,-318,61.9,64
48.2980555555556,-69.3805555555555,-300,63.1,
48.2980555555556,-69.3805555555555,-275,66.6,
48.2980555555556,-69.3805555555555,-250,74.2,
48.2980555555556,-69.3805555555555,-200,100,94.6
48.2980555555556,-69.3805555555555,-150,137,135.3
48.2916666666667,-69.3905555555556,-320,64.1,
48.4233333333333,-69.1183333333333,-295,61.1,
48.4233333333333,-69.1183333333333,-275,63,
48.4233333333333,-69.1183333333333,-250,69.2,
48.4233333333333,-69.1183333333333,-200,101,
48.4233333333333,-69.1183333333333,-160,135,
48.7308333333333,-68.6666666666667,-338,56.8,
48.7308333333333,-68.6666666666667,-320,57.1,
48.7308333333333,-68.6666666666667,-300,59.8,
48.7308333333333,-68.6666666666667,-275,66.3,
48.7308333333333,-68.6666666666667,-250,72.4,
48.7308333333333,-68.6666666666667,-200,95.6,
48.7308333333333,-68.6666666666667,-150,142,
48.7338888888889,-68.6727777777778,-335,56.8,
48.9347222222222,-68.085,-305,61.1,63.3
48.9347222222222,-68.085,-275,61.3,
48.9347222222222,-68.085,-250,62.6,
48.9347222222222,-68.085,-200,109,
48.9347222222222,-68.085,-170,148,
48.9347222222222,-68.085,-151,188,192
49.085,-67.3,-311,69.4,
49.085,-67.3,-275.5,72.2,
49.085,-67.3,-250,87.4,
49.085,-67.3,-200,115,
49.085,-67.3,-170,145,
49.085,-67.3,-150,192,
49.4183333333333,-66.3166666666667,-317,64.8,
49.4183333333333,-66.3166666666667,-300,64.1,
49.4183333333333,-66.3166666666667,-250,72,
49.4183333333333,-66.3166666666667,-200,105,
49.4183333333333,-66.3166666666667,-151,109,
49.4847222222222,-66.2172222222222,-350,90.5,
49.4847222222222,-66.2172222222222,-325,90,
49.4847222222222,-66.2172222222222,-300,89.6,
49.4847222222222,-66.2172222222222,-250,83.2,
49.4847222222222,-66.2172222222222,-200,105,
49.4847222222222,-66.2172222222222,-150.5,129,
49.4847222222222,-66.2172222222222,-100.5,184,
49.2597222222222,-64.2866666666667,-373,108,
49.2597222222222,-64.2866666666667,-350,108,
49.2597222222222,-64.2866666666667,-300,99.2,
49.2597222222222,-64.2866666666667,-250,82.5,
49.2597222222222,-64.2866666666667,-200,111,
49.2597222222222,-64.2866666666667,-150,173,
48.9755555555556,-63.1413888888889,-391,111,
48.9755555555556,-63.1413888888889,-350,104,
48.9755555555556,-63.1413888888889,-300,117,
48.9755555555556,-63.1413888888889,-250,134,
48.9755555555556,-63.1413888888889,-200.5,179,
48.9755555555556,-63.1413888888889,-150,219,
48.2988888888889,-69.3836111111111,-313.8,58.5,57.4
48.2988888888889,-69.3836111111111,-300,59.3,58.6
48.2988888888889,-69.3836111111111,-250,64.8,63.2
48.2988888888889,-69.3836111111111,-200,93.1,92.5
48.2988888888889,-69.3836111111111,-150,116.1,118.9
47.9322222222222,-69.9369444444444,-119,296.8,300.1
48.705,-68.6525,-332,49,52.3
48.705,-68.6525,-300,50.2,50
48.705,-68.6525,-250,67.7,66
48.705,-68.6525,-160,126.4,118.1
48.705,-68.6525,-140,153.6,152.8
48.9344444444444,-68.0963888888889,-309,59.3,59.6
48.9344444444444,-68.0963888888889,-250,67.9,
48.9344444444444,-68.0963888888889,-200,,
48.9344444444444,-68.0963888888889,-150,153,
49.1708333333333,-67.9616666666667,-145,158,
49.085,-67.3,-310,63.4,
49.085,-67.3,-260,56.1,
49.085,-67.3,-160,147,
49.3552777777778,-63.9602777777778,-330,89.5,
49.3552777777778,-63.9602777777778,-250,73.6,
49.2580555555556,-64.2775,-372,91.7,
49.2608333333333,-64.2775,-372,91.7,
49.2608333333333,-64.2775,-270,75.3,
49.2608333333333,-64.2775,-355,83.8,
49.2608333333333,-64.2775,-275,64.6,
49.2608333333333,-64.2775,-175,106.8,
49.4372222222222,-66.3175,-320,67.7,
49.4372222222222,-66.3175,-285,66,
48.4252777777778,-69.1211111111111,-296.5,58.4,56.2
48.4252777777778,-69.1211111111111,-250.8,67,64.4
48.4252777777778,-69.1211111111111,-200,73.7,71.7
48.4252777777778,-69.1211111111111,-150,97.8,97.2
48.1566666666667,-69.5908333333333,-120,173,
48.2463888888889,-69.3902777777778,-315,61.6,
48.2463888888889,-69.3902777777778,-200,139,139.4
48.2463888888889,-69.3902777777778,-140,202,206.6
48.8736111111111,-68.2636111111111,-338,59.9,59.6
48.8736111111111,-68.2636111111111,-200,91.4,
48.8736111111111,-68.2636111111111,-110,175,179.2
48.6677777777778,-68.7333333333333,-335,59.2,
48.6677777777778,-68.7333333333333,-200,75.5,
48.6677777777778,-68.7333333333333,-150,132,
48.7452777777778,-68.8580555555556,-115,201,
48.6683333333333,-68.7505555555556,-337,59.3,
48.6683333333333,-68.7505555555556,-200,78.7,
49.0833333333333,-67.3027777777778,-310,66,58.2
49.0833333333333,-67.3027777777778,-200,86,
49.3305555555556,-64.3911111111111,-375,77,
49.3305555555556,-64.3911111111111,-280,68,
49.3305555555556,-64.3911111111111,-150,161,
49.1444444444444,-64.675,-350,95,
49.1444444444444,-64.675,-200,85,
49.3305555555556,-64.3911111111111,-350,95,
49.3305555555556,-64.3911111111111,-206,87,
48.5030555555556,-68.425,-403.5,117,
48.5047222222222,-68.4205555555556,-403,116,
48.5047222222222,-68.4205555555556,-270,100,
48.8022222222222,-62.5338888888889,-365,110,
48.8022222222222,-62.5338888888889,-270,101,
49.4963888888889,-64.2222222222222,-347.3,76,
49.4963888888889,-64.2222222222222,-260,66,
49.4355555555556,-66.3222222222222,-320,64,
49.4355555555556,-66.3222222222222,-150,129,
48.9508333333333,-68.2013888888889,-318,88.5,
49.5383333333333,-66.4505555555556,-316,99.1,
49.5383333333333,-66.4505555555556,-300,98.5,
49.5383333333333,-66.4505555555556,-250,93.1,
49.5383333333333,-66.4505555555556,-200,94.8,
49.5383333333333,-66.4505555555556,-150,147.4,
49.2222222222222,-67.4952777777778,-315,94,
49.2222222222222,-67.4952777777778,-300,93.5,
49.2222222222222,-67.4952777777778,-250,94,
49.2222222222222,-67.4952777777778,-200,109,
49.2222222222222,-67.4952777777778,-150,150.7,
49.1519444444444,-68.2558333333333,-300,87.4,
49.1519444444444,-68.2558333333333,-250,69.1,
49.1519444444444,-68.2558333333333,-200,95.1,
49.1519444444444,-68.2558333333333,-150,144,
48.7277777777778,-68.9041666666667,-335,56.6,
48.7277777777778,-68.9041666666667,-300,58.7,
48.7277777777778,-68.9041666666667,-250,64,
48.7277777777778,-68.9041666666667,-200,81,
48.7277777777778,-68.9041666666667,-150,125.9,
48.7483333333333,-68.6644444444444,-295,60.3,
48.7483333333333,-68.6644444444444,-250,65.9,
48.7483333333333,-68.6644444444444,-200,90.5,
48.7483333333333,-68.6644444444444,-150,120.2,
48.7055555555556,-69.2736111111111,-312,60.3,
48.7055555555556,-69.2736111111111,-300,63.7,
48.7055555555556,-69.2736111111111,-250,81.3,
48.7055555555556,-69.2736111111111,-200,101.1,
48.7055555555556,-69.2736111111111,-150,151.2,
48.7027777777778,-68.9030555555556,-338,55.5,
48.7027777777778,-68.9030555555556,-320,59.4,
48.7027777777778,-68.9030555555556,-300,56.6,
48.7027777777778,-68.9030555555556,-250,65,
48.7027777777778,-68.9030555555556,-200,105.5,
48.7027777777778,-68.9030555555556,-150,162.6,
48.7933333333333,-69.1597222222222,-315,54.9,
48.7933333333333,-69.1597222222222,-300,55,
48.7933333333333,-69.1597222222222,-250,66.1,
48.7933333333333,-69.1597222222222,-200,93.3,
48.7933333333333,-69.1597222222222,-150,205,
48.1261111111111,-69.5513888888889,-131,,
48.1261111111111,-69.5513888888889,-204.5,89.4,
48.1261111111111,-69.5513888888889,-200,89.3,
48.1261111111111,-69.5513888888889,-150,146.5,
48.4863888888889,-69.4613888888889,-298,56.2,
48.4863888888889,-69.4613888888889,-250,62.5,
48.4863888888889,-69.4613888888889,-200,93.4,
48.4863888888889,-69.4613888888889,-150,183.5,
48.4569444444444,-69.3613888888889,-310,58.4,
48.4569444444444,-69.3613888888889,-300,60,
48.4569444444444,-69.3613888888889,-250,69.9,
48.4569444444444,-69.3613888888889,-200,131.2,
48.4569444444444,-69.3613888888889,-150,213.5,
48.6108333333333,-69.4605555555556,-300,53.3,
48.6108333333333,-69.4605555555556,-250,58.3,
48.6108333333333,-69.4605555555556,-200,101.6,
48.6108333333333,-69.4605555555556,-150,198.6,
48.4519444444444,-69.1261111111111,-300,51.6,
48.4519444444444,-69.1261111111111,-250,68.3,
48.4519444444444,-69.1261111111111,-200,113.7,
48.4519444444444,-69.1261111111111,-150,157.6,
48.8941666666667,-68.7272222222222,-337,55.7,
48.8941666666667,-68.7272222222222,-300,53.1,
48.8941666666667,-68.7272222222222,-250,,
48.8941666666667,-68.7272222222222,-200,,
48.8941666666667,-68.7272222222222,-150,,
48.8325,-68.8208333333333,-300,51.2,
48.8325,-68.8208333333333,-250,,
48.8325,-68.8208333333333,-200,,
48.8325,-68.8208333333333,-150,,
49.0452777777778,-68.4866666666667,-350,59.8,
49.0452777777778,-68.4866666666667,-300,57.6,
49.0452777777778,-68.4866666666667,-250,65.3,
49.0452777777778,-68.4866666666667,-200,115.2,
49.0452777777778,-68.4866666666667,-150,253.7,
48.9727777777778,-68.1805555555556,-300,66.5,
48.9727777777778,-68.1805555555556,-250,60.1,
48.9727777777778,-68.1805555555556,-200,95,
48.9727777777778,-68.1805555555556,-150,208.4,
49.2125,-67.6794444444444,-289,71.2,
49.2125,-67.6794444444444,-250,58.4,
49.2125,-67.6794444444444,-200,78.3,
49.2125,-67.6794444444444,-150,130.3,
49.3544444444444,-67.5413888888889,-315,81.6,
49.3544444444444,-67.5413888888889,-300,81.6,
49.3544444444444,-67.5413888888889,-250,72.8,
49.3544444444444,-67.5413888888889,-200,107.1,
49.3544444444444,-67.5413888888889,-150,271,
49.5130555555556,-66.38,-320,91.5,
49.5130555555556,-66.38,-300,,
49.5130555555556,-66.38,-250,83.8,
49.5130555555556,-66.38,-200,,
49.5130555555556,-66.38,-150,95.5,
49.73,-65.4291666666667,-350,97.7,
49.73,-65.4291666666667,-300,,
49.73,-65.4291666666667,-250,87.6,
49.73,-65.4291666666667,-200,89,
49.73,-65.4291666666667,-150,121.6,
49.2991666666667,-64.4702777777778,-350,109.9,
49.2991666666667,-64.4702777777778,-300,,
49.2991666666667,-64.4702777777778,-250,83.9,
49.2991666666667,-64.4702777777778,-200,102.6,
49.2991666666667,-64.4702777777778,-150,185.2,
49.1983333333333,-63.1805555555556,-395,119.6,
49.1983333333333,-63.1805555555556,-300,99.3,
49.1983333333333,-63.1805555555556,-250,111,
49.1983333333333,-63.1805555555556,-200,176.5,
49.1983333333333,-63.1805555555556,-150,231.2,
48.7022222222222,-68.6591666666667,-330,60.9,
47.9166666666667,-69.7861111111111,-114,284.4,
48.2847222222222,-69.3888888888889,-312,63.3,
48.7022222222222,-68.6591666666667,-150,128.1,
48.7022222222222,-68.6591666666667,-200,77.6,
48.7022222222222,-68.6591666666667,-250,66.9,
48.7022222222222,-68.6591666666667,-300,65.8,
48.7022222222222,-68.6591666666667,-333,65.4,
48.7022222222222,-68.6591666666667,-111,254.4,
48.7022222222222,-68.6591666666667,-330,68.2,
48.7022222222222,-68.6591666666667,-300,67.9,
48.7022222222222,-68.6591666666667,-250,70.4,
48.8325,-68.8208333333333,-310,66.4,
48.8941666666667,-68.7272222222222,-345,64.7,
49.5130555555556,-66.38,-316.5,117.4,
49.5130555555556,-66.38,-250,104.3,
49.5130555555556,-66.38,-281,,
49.3544444444444,-67.5413888888889,-310,108.3,
49.3544444444444,-67.5413888888889,-250,96.6,
49.3544444444444,-67.5413888888889,-305,101.3,
49.3544444444444,-67.5413888888889,-250,,
48.9727777777778,-68.1805555555556,-295,66.9,
48.9727777777778,-68.1805555555556,-240,,
48.9727777777778,-68.1805555555556,-305,65.7,
48.9727777777778,-68.1805555555556,-240,74.6,
48.8841666666667,-68.7461111111111,-335,62.9,
48.7111111111111,-68.9027777777778,-200,110.6,
48.7111111111111,-68.9027777777778,-330,59.9,
48.7122222222222,-68.6425,-302,64.3,
49.4241666666667,-66.3325,-300,81.2,
49.4241666666667,-66.3325,-150,182.6,
49.0908333333333,-67.2844444444444,-300,71.2,
48.7122222222222,-68.6425,-300,68.1,
48.705,-68.6625,-250,67.6,
48.705,-68.6625,-200,84.2,
48.4458333333333,-69.3763888888889,-300,64.7,
48.4458333333333,-69.3763888888889,-125,156.2,
48.2933333333333,-69.3925,-300,66.6,
47.7622222222222,-69.9152777777778,-144,,
47.9252777777778,-69.7877777777778,-114,,
47.8819444444444,-69.9063888888889,-140.4,313.6,
48.88,-68.8261111111111,-310,66.4,
48.88,-68.8261111111111,-202.5,85.9,
48.88,-68.8261111111111,-150,148.5,
48.8622222222222,-68.8155555555555,-345,64.7,
48.8622222222222,-68.8155555555555,-200,81.9,
48.8622222222222,-68.8155555555555,-150,149,
48.8622222222222,-68.8155555555555,-235,93.9,
49.5369444444444,-66.4875,-316.5,117.4,
49.5369444444444,-66.4875,-250,104.3,
49.5369444444444,-66.4875,-200,101.6,
49.5369444444444,-66.4875,-150,103.1,
49.6658333333333,-66.6411111111111,-281,,
49.6658333333333,-66.6411111111111,-205,71.3,
49.2805555555556,-67.4702777777778,-310,108.3,
49.2805555555556,-67.4702777777778,-250,96.6,
49.2805555555556,-67.4702777777778,-200,106.1,
49.2805555555556,-67.4702777777778,-150,189.5,
49.5094444444444,-67.5080555555556,-305,101.3,
49.5094444444444,-67.5080555555556,-250,,
49.2008333333333,-68.2752777777778,-295,66.9,
49.2008333333333,-68.2752777777778,-240,,
